genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Hymenobacter saemangeumensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,15,25,30,3515497,61.48297660759189,5717947,RS_GCF_039541835.1,4929569,86.21221917586854,SAMD00645749,none,none,none,TRUE,0,Hymenobacter saemangeumensis,none,7,43,4718,19,42,99.99,0.62
Hymenobacter sedentarius,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,10,25,30,2968280,60.96467914818524,4868852,RS_GCF_001507645.1,4204851,86.3622677378569,SAMN04325376,South Korea: Seoul,soil,none,TRUE,0,Hymenobacter sedentarius,3935,9,44,3994,19,44,100,0.27
Hymenobacter swuensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,30,30,3131507,59.62424339355721,5252070,RS_GCF_000576555.1,4563087,86.881686649264,SAMN03081528,none,none,none,TRUE,0,Hymenobacter swuensis DY53,4410,8,44,4496,19,44,100,0.53
Hymenobacter terrenus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,2,28,35,3673867,57.793010473592645,6356977,RS_GCF_000972495.1,5342557,84.04241512907787,SAMN03460197,China: Liangcheng,soil,40.51 N 112.17 E,TRUE,0,Hymenobacter terrenus,5396,12,43,5633,19,43,100,0.51
Hymenobacter wooponensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,10,30,37,3374936,56.09983866211565,6015946,RS_GCF_004745865.1,5175120,86.0233785343153,SAMN10840549,South Korea: Woopo wetland,wetland freshwater,none,TRUE,0,Hymenobacter wooponensis,none,8,42,5166,19,42,100,0.89
Hymenobacter yonginensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,10,25,30,3053704,61.98192931873145,4926765,RS_GCF_027625995.1,4220045,85.65549605065392,SAMN32422662,South Korea,freshwater,none,TRUE,0,Hymenobacter yonginensis,none,12,48,4159,19,48,99.99,0.34
Hypericibacter adhaerens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,24,34.5,40,3950320,67.35130973193623,5865246,RS_GCF_008728835.1,5224482,89.0752408338883,SAMN12429833,Germany,rhizosphere of Hypericum perforatum,none,TRUE,1,Hypericibacter adhaerens,none,6,50,5178,19,50,99.53,0.48
Hypericibacter terrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,20,30,36,3891256,66.01930942000143,5894118,RS_GCF_008728855.1,5224350,88.63667133912148,SAMN12429786,Germany,none,none,TRUE,1,Hypericibacter terrae,none,6,50,5317,19,50,99.65,0.77
Hyphococcus flavus,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Hyphococcus,15,30,37,1903724,54.82051310109372,3472649,RS_GCF_028748065.1,3178825,91.5389087696453,SAMN33282959,China:South China Sea,the South China Sea at depth of 2500m,none,TRUE,1,Hyphococcus flavus,none,3,41,3320,19,41,99.88,0.2
Hyphomicrobium methylovorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,14,28,33,2038709,59.17182450248954,3445405,RS_GCF_013626205.1,3037400,88.15799593951945,SAMN09259304,United Kingdom: Warwickshire,rhizosphere,none,TRUE,1,Hyphomicrobium methylovorum,none,3,47,3313,19,47,100,0.14
Hyphomicrobium nitrativorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,15,32.5,35,2334232,63.884421741972,3653837,RS_GCF_000503895.1,3163960,86.59280641145185,SAMN02641510,none,denitrifying biofilm treating seawater,none,TRUE,1,Hyphomicrobium nitrativorans NL23,3344,3,48,3423,19,48,100,0.26
Hyphomicrobium sulfonivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,15,30,37,2174784,61.231681462273315,3551730,RS_GCF_013306565.1,3024406,85.15303809692742,SAMN08644077,United Kingdom: England,Garden soil,none,TRUE,1,Hyphomicrobium sulfonivorans,none,6,48,3249,19,49,100,0.03
Hyphomonas atlantica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,10,31,37,2099450,58.24621855267392,3604440,RS_GCF_000682715.1,3308170,91.78041526561684,SAMN02746323,Atlantic Ocean,deep seawater,none,TRUE,1,Hyphomonas atlantica,3457,3,40,3515,19,40,99.98,0.09
Hyphomonas beringensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,4,27.5,37,2220361,58.38809833797163,3802763,RS_GCF_000682755.1,3466149,91.14817305206766,SAMN02746321,none,surface seawater from the Bering Sea,none,TRUE,1,Hyphomonas beringensis,3607,3,41,3637,19,41,99.99,0.09
Hyphomonas chukchiensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,10,27.5,37,2354523,61.03541704578505,3857634,RS_GCF_000682695.1,3519302,91.22954640072128,SAMN02746322,Arctic Ocean,surface seawater,none,TRUE,0,Hyphomonas chukchiensis,3741,3,42,3767,19,43,99.96,0.08
Hyphomonas jannaschiana,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,31,37,41,2235332,61.3960008712268,3640843,RS_GCF_000685215.1,3325302,91.333298359748,SAMN02746699,none,shellfish beds in the Pacific Ocean,none,TRUE,1,Hyphomonas jannaschiana VP2,3487,3,40,3505,19,40,100,0.35
Hypnocyclicus thermotrophus,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,20,48,55,551137,24.841141849578527,2218931,RS_GCF_004365575.1,2028108,91.40022830813577,SAMN10864767,none,none,none,TRUE,0,Hypnocyclicus thermotrophus,none,4,61,2038,19,62,99.98,1.89
Hyunsoonleella jejuensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella,15,32.5,35,1204585,34.61141834738332,3480311,RS_GCF_900111025.1,3187668,91.5914698427813,SAMN05421824,none,none,33.51 N 126.52 E,TRUE,1,Hyunsoonleella jejuensis,2946,5,37,2974,19,37,99.99,0.03
Hyunsoonleella pacifica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella,10,28,35,1349668,32.698582519059485,4127878,RS_GCF_004310335.1,3756205,90.99602749887472,SAMN10948600,none,seawater,none,TRUE,1,Hyunsoonleella pacifica,none,5,46,3536,19,44,100,0.06
Ichthyenterobacterium magnum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ichthyenterobacterium,16,28,32,943653,31.36037077335063,3009115,RS_GCF_003610635.1,2754988,91.5547594558533,SAMN06265172,none,none,none,TRUE,1,Ichthyenterobacterium magnum,none,5,34,2763,19,34,99.83,0.84
Ichthyobacterium seriolicida,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium,18,26,28,629479,32.76193638611555,1921407,RS_GCF_002369955.1,1679885,87.42994066327437,SAMD00000006,Japan:Kagawa; Aji city; Seto Inland Sea,diseased fish,34.3866 N 134.1155 E,TRUE,0,Ichthyobacterium seriolicida,1439,3,32,1443,19,32,99.89,0.05
Ideonella paludis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Ideonella,10,25,37,3056534,63.67082766989027,4800525,RS_GCF_018069865.1,4398581,91.6270824545232,SAMN18680237,Taiwan,water,22.6917 N 120.309 E,TRUE,1,Ideonella paludis,none,4,47,4253,19,47,100,0
Ideonella sakaiensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Ideonella,15,30,37,4478106,72.90882558514949,6142063,RS_GCF_001293525.1,5583779,90.91048072935754,SAMD00034998,none,none,none,TRUE,0,Piscinibacter sakaiensis,5581,3,46,5615,19,45,100,1.02
Idiomarina abyssalis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,21,30,1261408,47.14837140301585,2675401,RS_GCF_900116625.1,2502852,93.55053691016786,SAMN04515657,none,none,none,TRUE,1,Idiomarina abyssalis,2535,5,50,2549,19,50,100,0.17
Idiomarina aestuarii,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,30,37,1296831,49.108044582434445,2640771,RS_GCF_003987355.1,2479905,93.90836994196012,SAMN08101821,South Korea: Gwangyang Bay,seawater,none,TRUE,1,Pseudidiomarina aestuarii,none,3,49,2365,19,49,99.5,0.01
Idiomarina andamanensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,15,31.5,45,1135962,47.05251294090943,2414343,RS_GCF_009734345.1,2237165,92.66144040014198,SAMN10054286,none,none,none,TRUE,1,Pseudidiomarina andamanensis,none,12,56,2236,19,57,99.99,0.04
Idiomarina aquatica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,5,37,40,1435444,48.650394556365995,2951409,RS_GCF_004362895.1,2735069,92.6699417125854,SAMN09063475,USA: Texas,none,none,TRUE,1,Idiomarina aquatica,none,4,48,2777,19,49,99.99,0.02
Idiomarina aquimaris,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,25,45,1406519,50.24922421104604,2799086,RS_GCF_003987395.1,2611619,93.30256376545772,SAMN08102247,China: Taiwan,Coral,none,TRUE,1,Pseudidiomarina aquimaris,none,11,50,2605,19,51,99.99,0.11
Idiomarina atlantica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,30,45,1357859,50.233212854822774,2703110,RS_GCF_000753735.1,2529345,93.57166375027283,SAMN02910054,Atlantic Ocean: North Atlantic,sediment,none,TRUE,1,Pseudidiomarina atlantica,2536,4,52,2550,19,53,99.95,0.12
Idiomarina baltica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,8,32,46,1308745,47.22062063376719,2771554,RS_GCF_036807925.1,2587979,93.37645956023228,SAMN28749712,none,none,none,FALSE,1,Idiomarina baltica,none,0,48,2613,19,49,100,0.11
Idiomarina donghaiensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,15,37,45,1237129,48.05963434977084,2574154,RS_GCF_900116895.1,2381860,92.52981756336256,SAMN04488139,none,none,none,TRUE,1,Pseudidiomarina donghaiensis,2459,9,48,2464,19,48,99.97,0.05
Idiomarina fontislapidosi,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,32,45,1366570,47.762628575023506,2862757,RS_GCF_003226255.1,2665148,93.0972485614392,SAMN09074960,none,none,none,TRUE,1,Idiomarina fontislapidosi,2640,3,48,2639,19,50,100,0.03
Idiomarina halophila,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,30,55,1324206,50.59224599594484,2617409,RS_GCF_003987215.1,2443395,93.35166953273256,SAMN08102254,South Korea: the Yellow Sea,sediment,none,TRUE,1,Pseudidiomarina halophila,none,4,49,2388,19,49,99.94,0.11
Idiomarina indica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,12,36,50,1004289,47.692925052475616,2105740,GB_GCA_029279945.1,1968436,93.47953688489557,SAMN23615004,China: Shanghai,urban industrial factory reactor residue,none,TRUE,none,Pseudidiomarina indica,none,none,none,2018,19,44,99.96,0.05
Idiomarina insulisalsae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,38.5,45,1340478,52.342813766249286,2560959,RS_GCF_003987065.1,2400098,93.71872021379492,SAMN08102259,Cape Verde: Island of Sal,soil,none,TRUE,1,Pseudidiomarina insulisalsae,none,8,51,2348,19,51,99.66,0.06
Idiomarina marina,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,32.5,42,1137464,47.1765936965099,2411077,RS_GCF_003987045.1,2239968,92.90321296250596,SAMN08102269,China: Tainan,seawater,none,TRUE,1,Pseudidiomarina marina,none,7,52,2265,19,52,99.97,0
Idiomarina piscisalsi,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,25,33.5,45,1225438,47.359959312045845,2587498,RS_GCF_002211765.1,2409702,93.12865169364382,SAMN07267296,Saudi Arabia,soil,none,TRUE,1,Idiomarina piscisalsi,2383,12,56,2405,19,56,100,0.23
Idiomarina planktonica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,32.5,40,1261274,48.983188551686425,2574939,RS_GCF_900177775.1,2390001,92.81777160546328,SAMN06297229,none,none,none,TRUE,1,Pseudidiomarina planktonica,2383,3,51,2385,19,51,99.63,0.07
Idiomarina ramblicola,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,14,32,40,1272841,46.927435886091814,2712360,RS_GCF_003987255.1,2530242,93.2856258018847,SAMN08102273,Spain: Murcia,Hypersaline water,none,TRUE,1,Idiomarina ramblicola,none,3,45,2528,18,46,99.96,0.06
Idiomarina salinarum,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,37,42,1313693,52.965597377066096,2480276,RS_GCF_000753715.1,2326779,93.81129358184332,SAMN02897942,Pacific Ocean: Yellow Sea near Korea,a marine solar saltern,none,TRUE,1,Pseudidiomarina salinarum,2316,4,49,2323,19,51,99.85,0.04
Idiomarina sediminum,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,13,35,42,1344782,50.27855845764494,2674663,RS_GCF_019801665.1,2503213,93.58984664610084,SAMN19953168,China: Shenzhen,sediment,22.486 N 114.475 E,FALSE,1,Pseudidiomarina sediminum,none,6,53,2440,19,53,99.89,0.08
Idiomarina seosinensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,32.5,40,1269554,47.27723389858785,2685339,RS_GCF_003987275.1,2516112,93.69811409285757,SAMN08102327,South Korea: Seosin,Hypersaline water,none,TRUE,1,Idiomarina seosinensis,none,9,50,2503,19,50,99.97,0.16
Idiomarina tainanensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,32.5,42,1123119,47.3606708562855,2371417,RS_GCF_004214835.1,2212579,93.30197936508004,SAMN08102326,China: Tainan,seawater,none,TRUE,1,Pseudidiomarina tainanensis,none,7,49,2234,19,49,99.93,0.02
Idiomarina taiwanensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,15,32.5,42,1086450,49.47879782620279,2195789,RS_GCF_003987435.1,2063546,93.97742679282936,SAMN08102329,China: Tainan,seawater,none,TRUE,1,Pseudidiomarina taiwanensis,none,11,49,2049,19,49,99.88,0
Idiomarina tyrosinivorans,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,20,37,40,1195125,49.25831739646531,2426240,RS_GCF_003987475.1,2251048,92.77927987338433,SAMN08102328,China: Pingtung,seawater,none,TRUE,1,Idiomarina tyrosinivorans,none,8,49,2310,19,49,99.69,0.04
Idiomarina woesei,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,10,33.5,45,1165160,47.797788558493586,2437751,RS_GCF_001418345.1,2264901,92.90944809375527,SAMN03840628,none,none,none,TRUE,1,Pseudidiomarina woesei,2297,7,48,2298,19,48,99.99,0.02
Idiomarina xiamenensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,25,42,1434664,49.48342382700269,2899282,RS_GCF_000299895.1,2658196,91.68463088447416,SAMN02471167,China,surface seawater from sea close to Xiamen; China,none,TRUE,1,Idiomarina xiamenensis 10-D-4,2682,3,43,2712,19,43,99.99,0.12
Idiomarina zobellii,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,4,21,30,1215713,47.08485252687685,2582063,RS_GCF_900100855.1,2405867,93.1761541062321,SAMN04515658,none,none,none,TRUE,1,Idiomarina zobellii,2486,7,45,2512,19,45,100,0.09
Ignatzschineria indica,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Ignatzschineria,4,37,45,1036395,41.39035357293048,2503968,RS_GCF_003121925.1,2046744,81.7400222367059,SAMN08954451,India,Adult flesh fly mid gut,none,TRUE,1,Ignatzschineria indica,2041,21,56,2042,19,56,98.9,0.16
Ignatzschineria larvae,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Ignatzschineria,4,32.5,45,1038692,40.5211338046466,2563334,RS_GCF_038500265.1,2118861,82.66035561499204,SAMN40629998,none,none,none,TRUE,1,Ignatzschineria larvae DSM 13226,none,18,56,2061,19,56,98.44,0.17
Ignatzschineria ureiclastica,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Ignatzschineria,4,37,45,993239,40.60568449084834,2446067,RS_GCF_003121845.1,2002062,81.84820775555208,SAMN08954452,India,Adult flesh fly mid gut,none,TRUE,0,Ignatzschineria ureiclastica,1928,33,60,1928,19,60,98.87,0.05
Ignavibacterium album,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,30,45,55,2060172,52.625109583918295,3915408,GB_GCA_020725085.1,3515740,89.79243031632974,SAMN22209275,South Africa: Beatrix mine in Welkom district,groundwater filtered on filters,28.1424 S 26.4745 E,TRUE,none,Ignavibacterium album,none,none,none,3528,19,44,100,0.01
Ileibacterium valens,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,30,37,37,1119649,40.854677776297954,2740565,RS_GCF_001945525.1,2184049,79.69338439336414,SAMN06007747,USA: New York,intestinal contents,none,TRUE,0,Ileibacterium valens,2535,33,62,2533,19,62,98.13,1.08
Ilyobacter polytropus,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,10,30,35,916651,36.77600024071975,2492525,GB_GCA_003246855.1,2159251,86.62906089206729,SAMN09287975,Atlantic Ocean: Mid-Atlantic Ridge; South,marine hydrothermal sulfide sediment TVG12,15.16 S 13.35 W,TRUE,none,Ilyobacter polytropus,0,none,none,2438,18,51,96.72,5.11
Ilyomonas limi,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter,10,29,40,2408104,40.93053107280102,5883685,RS_GCF_005233845.1,4971664,84.49915316676538,SAMN11546703,South Korea: Seoul,mud,none,TRUE,0,Ilyomonas limi,none,3,42,4901,19,42,100,0.02
Imhoffiella purpurea,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Imhoffiella,20,30,37,3087860,64.7803023707351,4766665,RS_GCF_000585215.1,4219785,88.5269889954507,SAMN02951921,none,none,none,TRUE,1,Imhoffiella purpurea,4147,3,52,4186,19,53,100,2.31
Immundisolibacter cernigliae,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,20,29,36,2198887,67.79287549363549,3243537,RS_GCF_001697225.1,2938333,90.59039560825111,SAMN04528780,USA: North Carolina; Salisbury,contaminated soil,35.4 N 80.26999999 W,TRUE,1,Immundisolibacter cernigliae,3035,3,45,3055,19,45,100,0.3
Imtechella halotolerans,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,20,33.5,45,1107706,35.58196286608476,3113111,RS_GCF_028743515.2,2831513,90.95445038740988,SAMN33245274,USA,shrimp paste,none,TRUE,1,Imtechella halotolerans,none,9,42,2723,19,42,99.86,0.27
Indibacter alkaliphilus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Indibacter,15,33.5,40,1998146,39.67725960177109,5036047,RS_GCF_000295935.2,4483104,89.02029707030137,SAMN02469969,India: Maharashtra,Lonar Lake,none,TRUE,0,Indibacter alkaliphilus LW1,4269,3,40,4353,19,40,100,0.06
Inhella crocodyli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Inhella,20,25,37,2592206,68.93284899800025,3760480,RS_GCF_004004565.1,3513664,93.436582563928,SAMN10685038,Taiwan,water,none,TRUE,0,Inhella crocodyli,none,3,48,3431,19,48,100,0.02
Inhella inkyongensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Inhella,15,25,30,2705481,66.23917959304791,4084412,RS_GCF_005952805.1,3772113,92.35388104823902,SAMN11834752,South Korea: Inkyong Pond,freshwater,none,TRUE,0,Inhella inkyongensis,none,12,58,3742,19,59,100,0.06
Inmirania thermothiophila,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Inmirania,35,65,68,1937202,74.25937163265799,2608718,RS_GCF_003751635.1,2462946,94.41212120282836,SAMN10362945,none,none,none,TRUE,1,Inmirania thermothiophila,none,3,45,2485,19,45,99.85,0
Intrasporangium chromatireducens,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,10,37,45,3390839,70.57997177915975,4804251,RS_GCF_000576575.1,4363163,90.8187977688926,SAMN02952954,China: Hunan Province,manganese mining soil in Hunan Province; central-south China,none,TRUE,0,Intrasporangium chromatireducens Q5-1,4634,3,47,4783,19,47,99.99,0.29
Iodidimonas muriae,Bacteria,Proteobacteria,Alphaproteobacteria,Iodidimonadales,Iodidimonadaceae,Iodidimonas,4,30,40,1672219,55.62415634993657,3006349,RS_GCF_014647255.1,2735576,90.99329452435497,SAMD00245268,none,none,none,TRUE,1,Iodidimonas muriae,none,4,44,2792,19,46,100,0.1
Isoptericola chiayiensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,15,30,40,2640358,73.0200423901308,3616226,RS_GCF_013149805.1,3328626,92.04695724216351,SAMN14505434,none,none,none,TRUE,0,Isoptericola chiayiensis,none,5,49,3277,19,49,100,0
Isoptericola cucumis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,10,28,45,3302791,74.03866932681747,4460900,RS_GCF_014635665.1,4109246,92.11697191149769,SAMD00244873,none,none,none,TRUE,0,Isoptericola cucumis,none,6,50,3998,19,50,99.96,0.27
Isoptericola dokdonensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,10,30,40,2824741,73.81138403939198,3826972,RS_GCF_001636295.1,3498986,91.42962112082346,SAMN04437027,South Korea,ENVO:00001998,37.23944 N 131.86889 E,TRUE,0,Isoptericola dokdonensis DS-3,3393,12,50,3433,19,50,99.99,0.1
Isoptericola halotolerans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,28,28,37,2879793,72.56012277652118,3968934,RS_GCF_013149785.1,3666603,92.3825641847408,SAMN14505437,none,none,none,TRUE,0,Isoptericola halotolerans,none,6,50,3664,19,50,100,0
Isoptericola hypogeus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,10,30,40,3551597,73.8995530359163,4809621,RS_GCF_039531145.1,4405333,91.5941817452976,SAMD00645272,none,none,none,TRUE,0,Isoptericola hypogeus,none,3,50,4205,19,50,99.95,0.16
